,NOMINAL_CAPITAL,NOMINAL_VALUE_OF_UNISSUED_SHARE_CAPITAL,ISSUED_CAPITAL,PAID_UP_CAPITAL,GENERAL_RESERVE,INVESTMENT_FLCTN._RESERVE,UNAPPRTD_SURPLUS_(NET),OTHER_RESERVES,TOTAL_PAID_UP_CAPITAL_&_RESERVES,UNDERWRITING_PROVISIONS,LONG_TERM_LIABILITIES,CURRENT_LIABLITIES,"TOTAL_PAID-UP_CAPITAL,_RESERVES_&_LIABILITIES",LAND_&_BUILDINGS,INVESTMENT_PROPERTY,OTHER_FIXED_ASSETS,KENYA_GOVT._SECURITIES,LOCAL_GOVT._AUTHORITY_SECURITIES,OTHER_SECURITIES,DEBENTURES_QUOTED_&_UNQUOTED,PREFERENCE_SHARES_QUOTED/UNQUOTED,INVESTMENTS_IN_SUBSIDIARY,ORDINARY_SHARES_QUOTED/UNQUOTED,SECURED_LOANS_(INCL.LOANS_ON_LIFE_POLICIES),UNSECURED_LOANS,DEPOSITS_(WITH_BANKS_&_OTHER_INSTITUTIONS),OUTSTANDING_PREMIUMS,AMOUNTS_DUE_FROM_OTHER_INSURERS,CASH,MISCELLANEOUS,INTANGIBLE_ASSETS,TOTAL_ASSETS
UNNAMED: 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECTLINE,270000,25079,244921,244921,10153,0,0,0,255074,247227,0,227979,730280,0,0,27256,18095,0,0,0,0,0,144921,0,0,220552,208099,7993,3542,94821,5001,730280
"EAST AFRICA-
RE",600000,0,600000,600000,0,0,272535,0,872535,882999,0,549821,2305355,0,0,13063,395800,0,0,0,0,0,54832,22981,0,1021795,728779,0,46458,17712,3935,2305355
"FIDELITY
SHIELD",200000,0,200000,186648,0,0,0,124599,311247,572493,0,90155,973895,0,192632,5126,139858,0,0,0,0,0,152518,123242,0,148018,140140,20598,27821,23942,0,973895
"FIRST
ASSURANCE",150000,0,150000,150000,103725,24547,0,0,278272,768872,0,231811,1278955,80000,378417,24370,124373,0,39609,0,0,0,69432,0,0,220406,167028,87666,8750,78904,0,1278955
GATEWAY,175000,21645,153355,153355,135,0,75364,0,228854,718079,48238,62715,1057886,50622,147787,7056,138400,0,0,0,0,0,72733,1469,0,129061,257442,86289,31626,134901,500,1057886
GEMINIA,150000,0,150000,150000,0,0,46568,23813,220381,452911,0,134926,808218,257832,0,28507,116000,0,0,0,0,0,66601,4977,0,120700,43017,23871,20288,126425,0,808218
"GENERAL
ACCIDENT",200000,0,200000,200000,0,0,234991,252696,687687,912451,110743,52667,1763548,0,0,29661,196739,0,0,0,0,0,222909,453927,0,606380,162179,38266,5667,41624,6196,1763548
HERITAGE AII,450000,0,450000,450000,0,63154,719692,32000,1264846,1464864,60956,116971,2907637,0,231705,96371,310464,0,0,0,0,88369,449510,797063,11399,58038,359590,29698,7015,464311,4104,2907637
I.C.E.A.,250000,0,250000,250000,0,0,760146,0,1010146,1360562,293831,50211,2714750,579000,0,39683,532740,0,0,0,0,0,282779,0,0,169381,169732,0,11649,929786,0,2714750
